Day,Meal,Time,Crowd
Saturday,Lunch,13:01,0
Tuesday,Lunch,13:08,0
Saturday,Lunch,13:37,2
Monday,Lunch,13:13,1
Friday,Lunch,13:35,2
Saturday,Dinner,20:14,1
Wednesday,Lunch,13:48,0
Saturday,Dinner,20:21,2
Tuesday,Dinner,20:06,0
Wednesday,Dinner,20:38,2
Monday,Dinner,20:34,2
Thursday,Lunch,13:35,2
Saturday,Dinner,20:36,2
Monday,Lunch,13:42,1
Wednesday,Lunch,13:54,0
Monday,Dinner,20:17,1
Sunday,Dinner,20:10,0
Tuesday,Dinner,20:44,2
Saturday,Lunch,13:38,2
Friday,Lunch,13:10,1
Wednesday,Lunch,13:43,1
Sunday,Lunch,13:14,2
Sunday,Dinner,20:25,1
Tuesday,Dinner,20:13,1
Thursday,Dinner,20:09,0
Tuesday,Dinner,20:47,1
Friday,Dinner,20:23,2
Tuesday,Dinner,20:05,0
Sunday,Lunch,13:09,2
Sunday,Dinner,20:38,1
Friday,Dinner,20:33,2
Friday,Lunch,13:43,1
Saturday,Dinner,20:49,1
Monday,Dinner,20:27,2
Monday,Dinner,20:32,2
Friday,Lunch,13:55,0
Sunday,Lunch,13:09,2
Tuesday,Lunch,13:38,2
Monday,Lunch,13:59,0
Sunday,Dinner,20:15,2
Monday,Lunch,13:46,0
Monday,Lunch,13:08,0
Friday,Lunch,13:16,2
Friday,Dinner,20:13,1
Sunday,Lunch,13:45,2
Saturday,Dinner,20:28,2
Thursday,Lunch,13:15,2
Wednesday,Lunch,13:37,2
Friday,Lunch,13:00,2
Monday,Lunch,13:04,0
Sunday,Dinner,20:04,0
Wednesday,Dinner,20:13,1
Saturday,Dinner,20:15,1
Sunday,Dinner,20:12,2
Thursday,Dinner,20:27,2
Sunday,Lunch,13:43,2
Saturday,Lunch,13:03,0
Wednesday,Lunch,13:15,2
Friday,Dinner,20:08,0
Wednesday,Dinner,20:15,1
Monday,Dinner,20:51,1
Friday,Lunch,13:03,0
Friday,Lunch,13:05,0
Sunday,Lunch,13:10,2
Thursday,Lunch,13:55,0
Monday,Lunch,13:24,1
Wednesday,Dinner,20:18,1
Saturday,Dinner,20:09,0
Tuesday,Lunch,13:37,2
Monday,Dinner,20:03,1
Friday,Lunch,13:03,0
Monday,Lunch,13:04,0
Saturday,Lunch,13:25,2
Friday,Lunch,13:37,2
Friday,Lunch,13:26,2
Friday,Dinner,20:59,0
Saturday,Dinner,20:15,1
Tuesday,Dinner,20:29,2
Sunday,Lunch,13:00,2
Friday,Lunch,13:04,0
Friday,Dinner,20:08,0
Monday,Lunch,13:23,2
Thursday,Dinner,20:39,2
Sunday,Lunch,13:42,2
Wednesday,Lunch,13:56,0
Monday,Lunch,13:47,0
Wednesday,Dinner,20:38,2
Wednesday,Lunch,13:43,1
Wednesday,Dinner,20:16,1
Sunday,Lunch,13:05,2
Sunday,Dinner,20:02,0
Saturday,Dinner,20:10,1
Friday,Dinner,20:35,0
Saturday,Lunch,13:34,1
Friday,Lunch,13:27,2
Wednesday,Dinner,20:57,0
Sunday,Lunch,13:57,0
Saturday,Lunch,13:42,1
Sunday,Dinner,20:39,1
Tuesday,Lunch,13:51,0
Thursday,Lunch,13:11,1
Wednesday,Dinner,20:51,1
Saturday,Lunch,13:17,2
Saturday,Lunch,13:24,2
Sunday,Dinner,20:14,0
Thursday,Dinner,20:19,1
Sunday,Lunch,13:14,0
Thursday,Dinner,20:17,1
Sunday,Dinner,20:22,1
Thursday,Dinner,20:01,0
Wednesday,Lunch,13:37,2
Wednesday,Lunch,13:06,0
Wednesday,Dinner,20:27,2
Friday,Lunch,13:24,2
Tuesday,Dinner,20:02,0
Monday,Lunch,13:23,2
Saturday,Dinner,20:39,2
Sunday,Lunch,13:46,2
Friday,Dinner,20:42,2
Thursday,Dinner,20:35,2
Thursday,Dinner,20:43,2
Tuesday,Dinner,20:25,2
Monday,Dinner,20:18,1
Sunday,Dinner,20:29,1
Saturday,Lunch,13:32,2
Sunday,Lunch,13:42,2
Saturday,Dinner,20:05,0
Sunday,Lunch,13:43,2
Sunday,Lunch,13:09,0
Thursday,Lunch,13:29,2
Saturday,Lunch,13:45,1
Thursday,Dinner,20:15,1
Saturday,Lunch,13:57,0
Sunday,Lunch,13:49,2
Tuesday,Dinner,20:03,0
Sunday,Lunch,13:29,2
Thursday,Dinner,20:48,1
Friday,Dinner,20:53,1
Thursday,Lunch,13:47,0
Thursday,Dinner,20:48,1
Saturday,Dinner,20:49,1
Thursday,Lunch,13:17,2
Saturday,Dinner,20:15,1
Wednesday,Lunch,13:08,0
Thursday,Lunch,13:45,1
Thursday,Dinner,20:21,2
Thursday,Lunch,13:13,1
Thursday,Lunch,13:54,0
Friday,Dinner,20:30,1
Wednesday,Dinner,20:54,1
Sunday,Dinner,20:34,1
Friday,Lunch,13:31,2
Thursday,Dinner,20:01,0
Saturday,Dinner,20:46,1
Thursday,Lunch,13:39,2
Thursday,Lunch,13:05,0
Tuesday,Dinner,20:11,1
Wednesday,Lunch,13:29,2
Sunday,Dinner,20:17,0
Sunday,Dinner,20:16,0
Thursday,Lunch,13:47,0
Wednesday,Lunch,13:41,2
Monday,Lunch,13:15,2
Monday,Lunch,13:15,2
Saturday,Lunch,13:36,2
Thursday,Dinner,20:49,1
Friday,Lunch,13:49,0
Wednesday,Lunch,13:37,1
Friday,Dinner,20:25,2
Tuesday,Lunch,13:37,2
Saturday,Lunch,13:06,0
Wednesday,Lunch,13:50,0
Sunday,Lunch,13:22,2
Saturday,Dinner,20:04,0
Wednesday,Lunch,13:54,0
Thursday,Lunch,13:27,2
Saturday,Dinner,20:45,1
Tuesday,Dinner,20:39,2
Friday,Dinner,20:29,2
Saturday,Dinner,20:20,2
Sunday,Lunch,13:17,2
Tuesday,Dinner,20:36,2
Thursday,Dinner,20:01,0
Wednesday,Lunch,13:31,2
Sunday,Dinner,20:21,1
Friday,Dinner,20:35,0
Monday,Lunch,13:46,0
Friday,Lunch,13:44,1
Saturday,Dinner,20:28,2
Monday,Dinner,20:14,1
Tuesday,Dinner,20:42,2
Thursday,Dinner,20:27,2
Friday,Dinner,20:22,2
Wednesday,Dinner,20:16,1
Saturday,Lunch,13:20,2
Friday,Lunch,13:12,1
Thursday,Dinner,20:46,1
Sunday,Dinner,20:06,0
Wednesday,Lunch,13:23,2
Monday,Lunch,13:17,0
Friday,Dinner,20:44,2
Saturday,Dinner,20:06,0
Friday,Dinner,20:30,2
Wednesday,Lunch,13:03,0
Sunday,Dinner,20:07,0
Thursday,Dinner,20:04,0
Saturday,Lunch,13:09,0
Friday,Dinner,20:05,0
Monday,Dinner,20:38,2
Friday,Lunch,13:49,0
Thursday,Dinner,20:19,1
Thursday,Dinner,20:36,2
Friday,Lunch,13:48,0
Tuesday,Dinner,20:42,0
Tuesday,Lunch,13:10,1
Saturday,Dinner,20:18,1
Saturday,Dinner,20:44,2
Monday,Lunch,13:59,0
Sunday,Lunch,13:27,2
Tuesday,Lunch,13:58,0
Tuesday,Lunch,13:03,0
Wednesday,Dinner,20:28,2
Saturday,Dinner,20:44,2
Wednesday,Dinner,20:28,0
Thursday,Dinner,20:38,2
Monday,Lunch,13:43,1
Friday,Lunch,13:48,0
Wednesday,Lunch,13:48,0
